timestamp,epoch,devinoc_rss_mb,devinoc_vsz_mb,devinoc_cpu_ticks,devinoc_uptime_sec,wxp_rss_mb,wxp_vsz_mb,wxp_cpu_ticks,wxp_uptime_sec,mem_total_mb,mem_used_mb,mem_avail_mb,swap_total_mb,swap_used_mb,load_1m,load_5m,load_15m
2026-06-09T09:59:51Z,1780999191,338,72711,1221,663,338,72698,17349,9597,3916,2100,1816,4096,431,0.74,0.57,0.55
2026-06-09T10:00:04Z,1780999204,338,72711,1234,676,338,72698,17374,9610,3916,2129,1787,4096,431,1.92,0.82,0.63
2026-06-09T10:00:10Z,1780999210,338,72711,1238,682,338,72698,17384,9616,3916,2141,1775,4096,431,1.84,0.82,0.63
2026-06-09T10:15:00Z,1781000100,338,72711,2614,1572,282,72698,18776,10506,3916,1309,2607,4096,425,0.09,0.18,0.38
2026-06-09T10:30:00Z,1781001000,358,72711,3786,2472,284,72698,20623,11406,3916,1411,2505,4096,425,0.05,0.06,0.17
2026-06-09T10:45:01Z,1781001901,359,72711,4549,3373,284,72698,22366,12307,3916,1411,2505,4096,425,0.00,0.01,0.06
2026-06-09T11:00:03Z,1781002803,353,72711,5771,4275,285,72698,24097,13209,3916,1398,2518,4096,425,0.02,0.07,0.07
2026-06-09T11:15:01Z,1781003701,352,72711,7766,5173,282,72698,25762,14107,3916,1405,2511,4096,425,0.11,0.11,0.08
2026-06-09T11:30:34Z,1781004634,352,72711,9802,6106,286,72698,26798,15040,3916,1403,2513,4096,425,0.00,0.02,0.05
2026-06-09T11:45:01Z,1781005501,353,72711,10549,6973,286,72698,27479,15907,3916,1405,2511,4096,425,0.04,0.06,0.04
2026-06-09T12:00:18Z,1781006418,360,72711,11380,7890,287,72698,28224,16824,3916,1420,2496,4096,425,0.01,0.03,0.00
2026-06-09T12:15:01Z,1781007301,360,72711,12074,8773,287,72698,28907,17707,3916,1409,2507,4096,425,0.03,0.03,0.00
2026-06-09T12:30:02Z,1781008202,361,72711,12872,9674,284,72698,30386,18608,3916,1407,2509,4096,425,0.14,0.17,0.07
2026-06-09T12:45:01Z,1781009101,362,72711,13670,10573,284,72698,32098,19507,3916,1413,2503,4096,425,0.00,0.02,0.04
2026-06-09T13:00:06Z,1781010006,356,72711,15841,11478,282,72698,33807,20412,3916,1407,2509,4096,425,0.22,0.09,0.02
2026-06-09T13:15:00Z,1781010900,356,72711,18005,12372,282,72698,35468,21306,3916,1405,2511,4096,425,0.00,0.01,0.00
2026-06-09T13:30:00Z,1781011800,352,72711,20174,13272,286,72698,36472,22206,3916,1409,2507,4096,425,0.02,0.03,0.00
2026-06-09T13:45:00Z,1781012700,352,72711,22334,14172,287,72698,37133,23106,3916,1397,2519,4096,425,0.03,0.03,0.00
2026-06-09T14:00:01Z,1781013601,359,72711,24559,15073,288,72698,37862,24007,3916,1408,2508,4096,425,0.11,0.10,0.03
2026-06-09T14:15:01Z,1781014501,358,72711,26753,15973,289,72698,38634,24907,3916,1408,2508,4096,425,0.20,0.14,0.06
2026-06-09T14:30:02Z,1781015402,358,72711,28993,16874,284,72698,40118,25808,3916,1401,2515,4096,425,0.01,0.06,0.07
2026-06-09T14:45:01Z,1781016301,358,72711,31194,17773,284,72698,41836,26707,3916,1399,2517,4096,425,0.00,0.00,0.00
2026-06-09T15:00:03Z,1781017203,411,72839,37521,18675,282,72698,43569,27609,3916,1488,2428,4096,425,0.44,0.31,0.13
2026-06-09T15:15:01Z,1781018101,397,72839,45905,19573,282,72698,45290,28507,3916,1488,2428,4096,425,0.09,0.16,0.15
2026-06-09T15:30:01Z,1781019001,401,72839,52532,20473,284,72698,47096,29407,3916,1492,2424,4096,425,0.09,0.14,0.15
2026-06-09T15:45:01Z,1781019901,410,72871,65884,21373,284,72698,48811,30307,3916,1499,2417,4096,425,0.05,0.13,0.15
2026-06-09T16:00:00Z,1781020800,428,72871,70766,22272,285,72698,50512,31206,3916,1519,2397,4096,425,0.04,0.02,0.05
2026-06-09T16:15:01Z,1781021701,416,72871,74977,23173,282,72698,52191,32107,3916,1497,2419,4096,425,0.46,0.24,0.16
2026-06-09T16:30:38Z,1781022638,415,72871,79722,24110,289,72698,53920,33044,3916,1509,2407,4096,425,0.25,0.23,0.18
2026-06-09T16:45:01Z,1781023501,415,72871,84126,24973,289,72698,55535,33907,3916,1514,2402,4096,425,0.00,0.07,0.10
2026-06-09T17:00:38Z,1781024438,418,72871,88982,25910,290,72698,57290,34844,3916,1512,2404,4096,425,0.26,0.13,0.10
2026-06-09T17:15:01Z,1781025301,413,72871,92752,26773,290,72698,58818,35707,3916,1513,2403,4096,425,0.00,0.02,0.06
2026-06-09T17:30:04Z,1781026204,413,72871,96927,27675,284,72698,60555,36609,3916,1507,2409,4096,425,0.08,0.18,0.10
2026-06-09T17:45:01Z,1781027101,413,72871,100964,28573,284,72698,62222,37507,3916,1504,2412,4096,425,0.12,0.08,0.08
2026-06-09T18:00:01Z,1781028001,413,72871,105178,29473,284,72698,63787,38407,3916,1520,2396,4096,425,0.00,0.08,0.11
2026-06-09T18:15:01Z,1781028901,413,72871,109278,30373,284,72698,65236,39307,3916,1504,2412,4096,425,0.04,0.12,0.10
2026-06-09T18:30:01Z,1781029801,414,72871,113410,31273,282,72698,66689,40207,3916,1506,2410,4096,424,0.26,0.18,0.12
2026-06-09T18:45:01Z,1781030701,413,72871,117228,32172,282,72698,68161,41106,3916,1502,2414,4096,424,0.06,0.07,0.08
2026-06-09T19:00:00Z,1781031600,415,72871,119228,33072,282,72698,69658,42006,3916,1503,2413,4096,424,0.07,0.07,0.06
2026-06-09T19:15:00Z,1781032500,415,72871,121606,33972,282,72698,71106,42906,3916,1521,2395,4096,424,0.00,0.02,0.03
